flight_id,record_id,ALT [ft],Q_1 [lb/h],Q_2 [lb/h],TLA_1 [deg],TLA_2 [deg],NAIV_1 [bool],NAIV_2 [bool],M [Mach],Duree_min,Consommation_totale_kg,AntiIce_ON
Aircraft_01.h5,record_137,1540,734.0424402948519,784.0615054261247,1.379541260868195,1.3978842834634417,0.0,0.0,0.2054158875,25.666666666666668,294.56769433863957,0
Aircraft_01.h5,record_138,1267,886.2839073264153,959.9374462347656,1.9726113052535914,1.9544860155894084,1.0,1.152732554,0.1889826165,21.116666666666667,294.72927118642525,1
Aircraft_01.h5,record_139,531,603.8542867187646,621.3142685268249,-0.7149683654967233,-0.6947408224699435,0.0,0.0,0.1889826165,8.85,81.96968165836621,0
Aircraft_01.h5,record_14,1372,659.8828407497609,707.4630157192187,1.7980083731772307,1.7013459783204083,0.0,0.0,0.1889826165,22.866666666666667,236.37164401391638,0
Aircraft_01.h5,record_140,801,1064.5381893745816,1158.1193282454233,3.7499522875100375,3.701146594624095,1.0,1.152732554,0.197199252,13.35,224.31997629293525,1
Aircraft_01.h5,record_141,394,564.9001553338275,584.2528293204264,-0.3794187040500508,-0.3163685024159391,1.0,1.152732554,0.1889826165,6.566666666666666,57.04754462289588,1
Aircraft_01.h5,record_142,1612,877.2598932384665,951.2862723133845,1.5106994527309061,1.4841263458888339,0.0,0.0,0.1889826165,26.866666666666667,371.393118518859,0
Aircraft_01.h5,record_143,573,513.713553119665,530.5742210735218,-0.3800947228890402,-0.35975236553274,0.0,0.0,0.1889826165,9.55,75.39415899476724,0
Aircraft_01.h5,record_144,1862,632.5850507343802,695.7835263302256,1.1063073629409024,1.138988936687798,0.0,0.0,0.197199252,31.033333333333335,311.6457121083024,0
Aircraft_01.h5,record_145,1338,813.6159075667204,864.8789292981884,1.674851247780927,1.7267573653107027,0.0,0.0,0.197199252,22.3,282.96909683273304,0
Aircraft_01.h5,record_146,1613,644.852846222899,696.2234084203396,1.1969448519224675,1.1648211677030504,0.0,0.0,0.197199252,26.883333333333333,272.55284882785196,0
Aircraft_01.h5,record_147,1439,727.8003472072828,772.5931558684475,1.302608489352481,1.2726716110359557,0.0,0.0,0.197199252,23.983333333333334,272.0375496916709,0
